Name,Email,Phone,Age,Gender,Department,CGPA,Tech Stack,Job Description
Daniel Davis,trevormelendez@wilson.org,190.167.7515x340,20,Female,Electronics,6.43,"Python, Django, PostgreSQL",Backend Developer
Melinda Baker,marksherman@gmail.com,9929167839,20,Female,Civil,8.05,"HTML, CSS, JavaScript",Machine Learning Intern
John Boone,zimmermantracy@hotmail.com,389.938.6488x7743,20,Male,Electronics,8.4,"Go, Gin, MongoDB",Backend Developer
Damon Adams,pguerrero@moore.com,(718)252-9057x3001,21,Other,Computer Science,7.0,"Java, Spring Boot, MySQL",QA Tester
Dana Spencer,bryantnancy@hotmail.com,641.914.1768x536,25,Other,Electronics,6.0,"React, Node.js, MongoDB",Backend Developer
Ellen Adams,tjohnson@hotmail.com,(295)511-6619x064,18,Male,Electronics,7.02,"HTML, CSS, JavaScript",Mobile App Developer
Bridget Hicks,mthomas@anderson-ellis.net,(706)619-4474,18,Male,Computer Science,8.46,"Flutter, Dart, Firebase",Frontend Developer
Diana Conway,george07@hotmail.com,225-706-2968,19,Other,Mechanical,7.06,"Java, Spring Boot, MySQL",Machine Learning Intern
Jeffrey Hicks Jr.,dylanhoffman@yahoo.com,9413041084,19,Male,Computer Science,8.66,"HTML, CSS, JavaScript",QA Tester
Katie Clements,john69@daniels.com,001-501-415-2024x5052,22,Female,Mechanical,8.39,"Java, Spring Boot, MySQL",DevOps Intern
Mario Jackson,clarkrobert@yahoo.com,332-661-2150x5998,22,Male,Electrical,9.61,"C++, Qt, SQLite",DevOps Intern
Leonard Swanson,johnsonmelinda@martin.com,(912)422-0083,19,Male,Computer Science,8.14,"Flutter, Dart, Firebase",Full Stack Developer Intern
Sierra Thomas,hillstacy@silva.com,+1-884-541-6319,22,Male,Computer Science,7.95,"Ruby on Rails, PostgreSQL",UI/UX Designer
James Jackson,margaretjackson@miller.net,(106)448-4147,24,Other,Civil,7.26,"C++, Qt, SQLite",QA Tester
Paul Simon,garciabrian@olson-morris.com,+1-371-501-4411,24,Other,Electronics,6.66,"Go, Gin, MongoDB",Software Engineering Intern
Heather King,brookebutler@perez-green.com,001-111-922-9002x01444,22,Male,Electronics,7.34,"Ruby on Rails, PostgreSQL",Software Engineering Intern
Sarah Simmons,mward@gmail.com,828-997-8352,20,Female,Civil,8.05,"Flutter, Dart, Firebase",Software Engineering Intern
Emma Saunders,yberg@cervantes.com,001-565-782-9404x878,21,Male,Mechanical,6.52,"Flutter, Dart, Firebase",DevOps Intern
Lisa Lopez,amandamata@snyder.com,8404079007,25,Male,Computer Science,7.28,"Flutter, Dart, Firebase",Frontend Developer
Kurt Wood,antoniowilliams@hotmail.com,961.887.6816x744,25,Female,Electronics,6.52,"React, Node.js, MongoDB",QA Tester
Alexander Martin,reedmichelle@murray.info,822.956.6002,25,Female,Computer Science,6.42,"React, Node.js, MongoDB",QA Tester
Albert Mccoy,mmartin@crawford.com,270.073.5891,19,Male,Civil,7.11,"Go, Gin, MongoDB",DevOps Intern
Kaitlyn Lynch DDS,mthomas@stone-nguyen.com,884-858-1121,22,Other,Electronics,7.14,"React, Node.js, MongoDB",Software Engineering Intern
Benjamin Rodriguez,mjimenez@burke.com,+1-662-954-3863,24,Male,Electrical,9.3,"Java, Spring Boot, MySQL",UI/UX Designer
Brian Burton,tjohnson@hotmail.com,001-356-132-2184x32889,21,Other,Mechanical,9.94,"Ruby on Rails, PostgreSQL",Frontend Developer
Jamie Woodard DVM,afuller@washington-miller.org,007-107-3715,25,Female,Electronics,7.22,"React, Node.js, MongoDB",Backend Developer
Anne Blair,chavezdwayne@gmail.com,+1-403-759-0511,19,Female,Electrical,8.92,"Ruby on Rails, PostgreSQL",DevOps Intern
Sandra Miller,lowesavannah@hotmail.com,6791656865,25,Other,Electrical,7.15,"React, Node.js, MongoDB",Mobile App Developer
Jasmine Miranda,emily68@powell.com,001-125-106-0487,25,Female,Electrical,6.19,"Go, Gin, MongoDB",Software Engineering Intern
Brian Sanders,laurencrawford@baird-romero.com,006.674.1000x88150,25,Male,Electrical,9.61,"Java, Spring Boot, MySQL",Frontend Developer
